CKG_MTRL_CN
[재료] 어묵 2개| 김밥용김 3장| 당면 1움큼| 양파 1/2개| 당근 1/2개| 깻잎 6장| 튀김가루 1컵 | 올리브유 적당량| 간장 1T| 참기름 1T
[재료] 두부 1/2모| 당근 1/2개| 고추 2개| 브로콜리 1/4개| 새우 4마리| 녹말가루| 계란 1개
[재료] 밥 1+1/2공기| 당근 1/4개| 치자단무지 1/2개| 신김치 1쪽| 무순 약간| 날치알 6스푼| 김가루 약간| 후리가케(또는밥이랑같은류)| 참기름 약간| 통깨 약간| 계란 노른자 2알
[재료] 현미 4컵| 찹쌀 2컵| 호두 50g| 물 1/2컵| 소금 약간
[재료] 북어포 1마리| 찹쌀가루 1C [양념] 간장 2T| 설탕 1T| 물 1T| 다진파 1T| 다진마늘 1T| 참기름 1T| 깨소금 1T| 후춧가루 약간
[재료] 파스타면 [양념] 토마토 1개| 토마토 페이스트 3T| 양파 1/2개| 다진마늘 1T| 피망 1/2개| 올리브유 3T
[재료] 건표고버섯 9개| 오이 1/2개| 당근 1/2개| 양파 1/2개| 사과 1/2쪽| 그외의 야채| 과일 [녹말물] 녹말가루 2C| 물 1C| 계란 노른자 1개 [탕수 소스] 물 2C| 설탕 1/2C| 식초 3T| 간장 1T| 녹말물 2T
[재료] 닭 1마리 [닭양념] 통마늘 3개| 다진마늘 1T| 화이트와인또는우유| 올리브유또는버터| 마늘솔트또는소금 [샐러드 드레싱] 파인애플 2쪽| 마요네즈 2T| 머스터드 1T| 식초1/2T(또는 레몬즙) | 꿀 1T
[재료] 양파1개| 빵가루| 달걀 노른자1개| 밀가루1C| 물 약간| 파슬리 
[재료] 밥 2공기| 참치캔 큰거 1개| 양파| 다진김치| 김밥용김 [양념] 고추장| 다진마늘| 참기름| 맛소금| 마요네즈
[재료] 떡볶이떡 150g| 당근 1/2개| 파 1뿌리| 양파 1/2개| 양배추 1/4통| 어묵 2장| 오징어| 새우| 조갯살| 홍합살 [양념장] 고춧가루 2T| 고추장 1T| 물엿 1T| 간장 1T| 참기름 1T| 다진 마늘 1/2T| 깨 1/2T| 후추가루 약간
[재료] 스팸 싱글 1팩| 샌드위치용 식빵2쪽| 토마토 1개| 상추 2쪽| 치즈 1장 [양념] 홀그레인머스터드| 허니머스터드| 다진양파
[재료] 밥 2공기| 깻잎 10장| 참치 작은캔 1개| 당근1/2개| 조미 김10장 [양념] 다진 마늘1/4t개| 깨소금| 맛소금| 참기름
[재료] 새우 10마리| 밥 2공기| 김치 1/4포기| 당근 1/2개| 감자 1/2개| 양파 1/2개| 빵가루| 달걀| 밀가루
[재료] 밥 2공기| 상추(작은걸로골라서)나그외쌈야채| 스팸| 밑반찬 [양념] 참기름 1/2t| 맛소금 약간 | 깨 약간 
[재료] 밥 1공기| 김치 1/6포기| 베이컨 적당량 | 깻잎 5장| 양파 1/4개
[재료] 식빵 4장| 스팸 1/3캔| 오이 1개| 체다치즈(노란치즈) [양념] 머스터드| 피클| 마요네즈
[재료] 고구마 큰거 2개| 모차렐라치즈(피자치즈) 1/2개| 버터 1T| 밀가루| 빵가루| 달걀 1개
[재료] 오징어 1마리| 양파 1/4개| 대파 1/2쪽| 당근 1/3개| 청고추 1개| 홍고추 1개 [양념] 고추장 1T| 고춧가루 1T| 다진 마늘 1T| 참기름 1T| 설탕 1t| 간장 1t| 청주 1t| 후추 약간| 소금 약간
[재료] 가래떡 1개| 호두 15알 정도 [양념] 깨 3T| 꿀 5T
[재료] 새우 7마리| 양파 1/4개| 김치 1/6포기| 밥지을쌀| 김밥용김| 계란| 밀가루| 빵가루 [양념] 백세 카레가루 2T
[재료] 블루베리 500g| 설탕 150g| 레몬즙 2T| 럼 1T| 모닝빵 3개
[재료] 모닝빵 3개| 새우 10마리| 상추 3장| 토마토 1개| 피클 약간| 마요네즈 [패티양념] 다진양파 1/2개| 빵가루| 밀가루| 계란| 소금| 후추
[재료] 고구마 으깬것 250g| 생크림 2큰술| 설탕 1큰술| 버터 1큰술| 아몬드슬라이스| 모짜렐라치즈 [커스타드크림] 우유 270ml| 박력분 25g| 노른자 3개| 설탕 60g| 바닐라오일 약간| 버터 20g
[재료] 국내산 제빵용 쌀가루 390그램| 계란 1개| 우유 250~270ml| 인스턴트 드라이 이스트 4그램| 소금 4그램| 버터 50그램| 설탕 50그램| 밤조림 150그램| 아몬드 슬라이스 30그램. [쿠키반죽] 버터 75그램| 설탕 75그램| 노른자 1개| 박력분 110그램| 바닐라오일 약간
[재료] 고구마 5개| 생크림 3큰술| 버터 2큰술| 커스타드크림 100g| 설탕 1큰술| 소금 약간 | 소금 약간| 설탕 1큰술
[재료] 감자(中) 2개| 생크림 1C| 우유 1C| 양파 1/2개| 베이컨 2장| 체다치즈 1장| 피자치즈 약간 [양념] 버터 1T| 육수 1C
[재료] 좋아하는 종류의 라면 1봉지| 김치 1/4포기| 굴 5~6개| 파 1개| 청or홍고추 1개 [양념] 고춧가루 약간
[재료] 감자 4개| 올리브유 약간| 베이컨 4장| 모짜렐라치즈 200그램| 파슬리 약간 [양념] 소금 약간
[재료] 양배추 1/2통| 숙주 1줌| 오징어 1마리| 새우 6마리| 베이컨 2줄| 계란 1개| 실파 약간 [오코노미야키반죽] 밀가루 1C| 물 1C| 혼다시 1T| 후추&소금 약간 [양념] 돈가스소스| 마요네즈
[재료] 당면 2줌| 부추 1줌| 만두피 10장 [양념] 간장 2T| 물엿 또는 설탕 1T| 참기름 1T| 다진 파 1T| 다진 마늘 1T | 소금 약간| 후추 약간
[재료] 손두부 1모| 포도씨유| 소금 약간| 꽈리고추 1줌| 양파 1/2개| 대파 1줄기 [양념장] 간장 70ml| 물 300ml| 설탕 1큰술| 물엿 or요리당 1큰술| 굴소스 1큰술| 고춧가루 2큰술| 마늘 1/2큰술| 후춧가루 1작은술
[재료] 갈비 900그램| 월계수잎 3장| 통마늘 7쪽| 후춧가루 1/2큰술| 청주 1큰술| 감자 2개| 양파 1개 [양념] 고춧가루 1컵(대략 8큰술)| 간장 1컵(8큰술)| 청량고추 3개| 통마늘 10개| 청주 3큰술| 설탕 3큰술| 생강가루 1/2큰술| 참기름 1+1/2큰술| 양파 1개| 파인애플 2쪽| 양겨자가루 3큰술
[재료] 어묵 500g| 포도씨유 적당량 | 꽈리고추 1줌| 양파 1/2개| 느타리버섯 1줌| 대파 1줄기| 물 1/4컵 [양념] 간장 70ml| 물 30ml| 설탕 1큰술| 물엿 2큰술| 굴소스 1큰술| 고춧가루 1큰술| 마늘 1/2큰술| 후춧가루 1작은술| 통깨 약간 
[재료] 닭날개 20개| 재움용 우유 1컵 [허니머스타드소스] 머스타드 1큰술| 마요네즈 1큰술| 꿀 1큰술 [버팔로윙스 소스] 올리브유 1/3컵| 버터 2큰술| BBQ소스 2큰술| A1소스 1큰술| 고운고춧가루 (or파프리카가루) 2작은술| 케첩 1큰술| 후춧가루 1작은술| 다진마늘 1작은술| 핫소스 4큰술| 파슬리 2작은술| 오레가노 1작은술

