재료명
가공
가다랑어
가다랑어포
가다랭이포
가리비
가시오가피
가시오이
가이리
가이리멸치
가자미
가자미살
가자미포
가지
가지말랭이
간연근
갈치
갈치살
갈치절단
갈치포
감귤
감말랭이
감자
감초
갑오징어
갑오징어채
갓피클
강낭콩
거봉
거피녹두
건고추
건꼴뚜기
건다시마
건대추
건멸치
건명태
건목이버섯
건미역
건백목이버섯
건블루베리
건새우
건오징어
건자두
건크렌베리
건톳
건파래찢은것
건파인
건파파야
건포도
건표고
건표고가공품
건표고버섯
건표고슬라이스
건홍합살
검정깨
게
견과류
견과류기타
견과류믹서
결명자
계란
계피
고구마
고구마말랭이
고구마순
고등어
고등어살
고등어자반절단
고등어절단
고등어포
고바멸치
고비
고사리
고수
고추
고추나물
고춧잎
곤드레
곤이
골드키위
공심채
곶감치즈호두말이
구기자
구분도미
국멸치
굴
궁채나물
귀리
그린키위
근대
기능성쌀
기능성잡곡
기장
기장미역
김치
깍두기
깐감자
깐당근
깐무
깐양배추
깐양상추
깐양파
깐잣
깐호두
깔끔지리멸치
깻잎
깻잎나물
꼬막
꽁치
꽃게
꽈리고추
낙지
낙지채
날치
날치알
납작불고기
냉이
넙치
노각
녹두
녹두가루
녹두묵
녹미
논우렁이
눈개승마
느타리버섯
늙은호박
다랑어
다시마
다시마튀각
다시마튀각반제품
다진마늘
단감
단미나리
단호박
달걀
달고기
달고기살
달래
닭가슴살
닭고기
닭다리살
당귀
당귀잎
당근
대구
대구포
대두콩
대추
대추방울토마토
대파
대합
대합살
더덕
도라지
도토리묵
도토리묵가루
돈까스
돈육
돌나물
돌문어
돌미나리
동부콩
동태
동태살
동태순살
동태절단
동태포
돼지갈비
돼지고기
돼지호박
두릅
두부
두부가고품
두절건새우
들깨
들깨가루
디포리
딸기
땅콩
떡갈비
라디초
래디쉬
레드향
레디쉬
레몬
렌틸콩
로메인
마늘
마늘쫑
만가닥버섯
만두
맛김치
맛살
맛타리버섯
망고
매실록
매실액
머위나물
메론
메주콩
멸치
명란
명란젓
명엽채
명태
모두부
모듬과일
모듬베이비순
모듬새싹
모시조개
무
무말랭이
무순
무시래기
무화과
문어
미꾸라지
미나리
미더덕
미숫가루
미역
미역줄기
바나나
바지락
바지락살
바질
반건시
반건오징어몸통채
반건오징어채
발아현미
밤
밤가공품
방어
방어살
방울토마토
방풍나물
배
배추
배추김치
백김치
백미
백새우살
백오이
백태
뱀장어
베이비채소
베이컨
병아리콩
보리
복숭아
볶음새송이
봄동
부대찌개햄
부세
부지갱이
부추
부침두부
북어
북어채
북어포
북어포절단
붉은양배추
붕장어
붕장어포
브로콜리
블루베리
비름나물
비타민
비트
사골
사과
사과즙
산삼배양근
산초
살구
삼
삼잎국화
삼치
삼치살
새송이버섯
새싹
새우
새우살
샐러리
생강
생강가루
생들깨
생미역
생새우살
생오렌지
생율
생파인애플
서리태
섬초
세발나물
세척당근
세척무
셀러리
소고기
쇠고기
쇠고기함박
수박
수삼
숙주
숙주가공품
숙주나물
순대
순두부
숯팽이버섯
슬라이스두부
시금치
식재료
식재료명
실파
쌀
쌀보리
쌈다시마
쌈배추
쌈장
쌈추
쑥
쑥갓
아귀
아귀살
아귀절단
아몬드
아보카도
아스파라거스
아욱
아이스홍시
알감자
애느타리버섯
애플민트
애호박
양고기
양념명란젓小
양배추
양송이버섯
양파
어수리
얼갈이
얼갈이배추
엄나무
연근
연두부
연시
연어살
연어순살
연자육
열무
염장다시마
염장미역
영양부추
오렌지
오리
오리고기
오미자
오색현미쌀
오이고추
오징어
오징어다리채
오징어다짐
오징어몸통채
오징어몸통칼집채
오징어몸통탈피채
오징어몸통탈피칼집채
오징어젓
오징어진미채
오징어칼집채
오징어탈피할복
오징어할복
옥수수
옥수수알
완두콩
완숙토마토
요거트
요구르트
용과
우거지
우렁쉥이
우엉
우엉가공품
울타리콩
원양오징어다짐
원양오징어링몸채
원양오징어칼집몸채
원양오징어칼집채
원양오징어탈피링몸채
원양오징어탈피칼집몸채
월계수잎
웨지감자
유부
유채
유채나물
율무쌀
은행
임연수
자두
자몽
자색양파
자숙문어
자숙칵테일새우살
자숙홍합살
자연애호박
잣
장어
저염지리멸
적두
적상추
적새우살
적포도
전복
전복사용시
전복살
젓갈
정향
조기
조기포
조청
조피볼락
주꾸미
주꾸미채
주황
죽순
중멸치
쥐눈이콩
쥐치
쥐치포
지리가이리
지리가이리멸치
지리멸
지리멸치
진미채
질경이
쪽파
찌개두부
차수수
차조
찰흑미
참깨
참나물
참돔
참외
참조기
참치
참치캔
참치통조림
찹쌀
찹쌀가루
찹쌀현미
채도라지
천혜향
청경채
청국장
청매실
청상추
청양고추
청오이
청차조
청포도
체리
취나물
치자
치즈
치즈돈가스
치커리
칠분도미
침조기
칵테일새우
칵테일새우살
칵테일새우자숙
칼슘쌀눈
컬리니
케쉬넛
케일
코다리
콜라비
콜리플라워
콩
콩가루
콩나물
콩나물가공품
콩몽실순두부
콩비지
콩줄기나물
퀴노아
키위
키위가공품
토란
토란대
토마토
통닭
통밀
파래
파슬리
파인애플
파인애플가공품
파파야
파프리카
팔각
팽이버섯
포기김치
포기로메인
포도
포항초
표고가루
표고버섯
풋고추
풋마늘
피마자
피망
피망나물
피밤
피알감자
피칸
한라봉
한우
한입사과
한치
핫도그소시지
해바라기씨
해파리
현미
호두
호박고구마
호박씨
호박잎
호부추
혼합곡
홍고추
홍메기살
홍미
홍합
황금팽이버섯
황금향
황기
황태
황태포
훈제오리
흑미
흑태
흰다리새우
흰다리새우살
